date,zone,ema_bias,opt,atm,strike,strike_type,entry_time,target_pct,sl_param,sl_type,ep,xp,exit_reason,pnl,iv_proxy,prev_body,dte
2023-05-16,tc_to_pdh,bull,PE,18400,18450,ITM1,09:25:02,0.2,75.0,spot,108.35,86.3,target,1653.75,0.588,0.346,2
2023-05-17,tc_to_pdh,bull,PE,18300,18350,ITM1,09:25:02,0.2,75.0,spot,105.75,105.75,spot_sl,0.0,0.578,0.764,1
2023-05-19,tc_to_pdh,bull,PE,18200,18250,ITM1,09:25:02,0.2,75.0,spot,132.15,148.2,spot_sl,-1203.75,0.727,0.746,6
2023-06-06,tc_to_pdh,bull,PE,18600,18650,ITM1,09:25:02,0.2,75.0,spot,88.85,128.2,spot_sl,-2951.25,0.478,0.114,2
2023-06-09,tc_to_pdh,bull,PE,18650,18700,ITM1,09:25:02,0.2,75.0,spot,93.1,116.85,spot_sl,-1781.25,0.499,0.467,6
2023-06-12,tc_to_pdh,bull,PE,18650,18700,ITM1,09:25:02,0.2,75.0,spot,133.75,106.0,target,2081.25,0.718,0.524,3
2023-06-16,tc_to_pdh,bull,PE,18750,18800,ITM1,09:25:02,0.2,75.0,spot,93.0,73.35,target,1473.75,0.497,0.518,6
2023-06-26,tc_to_pdh,bull,PE,18700,18750,ITM1,09:25:02,0.2,75.0,spot,97.95,78.3,target,1473.75,0.524,0.411,3
2023-07-07,within_cpr,bull,PE,19450,19450,ATM,09:20:02,0.3,2.0,pct,104.15,72.7,target,2358.75,0.536,0.484,6
2023-07-10,tc_to_pdh,bull,PE,19400,19450,ITM1,09:25:02,0.2,75.0,spot,132.8,106.05,target,2006.25,0.684,0.607,3
2023-07-14,tc_to_pdh,bull,PE,19500,19550,ITM1,09:25:02,0.2,75.0,spot,126.3,100.8,target,1912.5,0.648,0.144,6
2023-07-17,tc_to_pdh,bull,PE,19600,19650,ITM1,09:25:02,0.2,75.0,spot,118.65,94.55,target,1807.5,0.606,0.486,3
2023-07-19,tc_to_pdh,bull,PE,19800,19850,ITM1,09:25:02,0.2,75.0,spot,95.1,75.8,target,1447.5,0.48,0.235,1
2023-07-25,tc_to_pdh,bull,PE,19700,19750,ITM1,09:25:02,0.2,75.0,spot,108.45,130.15,spot_sl,-1627.5,0.55,0.419,2
2023-07-28,pdl_to_bc,bull,PE,19700,19650,OTM1,09:31:02,0.2,1.5,pct,109.95,87.95,target,1650.0,0.559,0.769,6
2023-07-31,tc_to_pdh,bull,PE,19650,19700,ITM1,09:25:02,0.2,75.0,spot,125.25,99.65,target,1920.0,0.637,0.23,3
2023-08-09,tc_to_pdh,bull,PE,19600,19650,ITM1,09:25:02,0.2,75.0,spot,131.6,156.4,spot_sl,-1860.0,0.672,0.326,1
2023-08-11,tc_to_pdh,bull,PE,19550,19600,ITM1,09:25:02,0.2,75.0,spot,151.65,151.25,spot_sl,30.0,0.775,0.326,6
2023-08-18,pdl_to_s1,bear,CE,19300,19250,ITM1,09:20:02,0.2,2.0,pct,123.2,97.85,target,1901.25,0.638,0.596,6
2023-08-23,r1_to_r2,bear,PE,19450,19450,ATM,09:20:02,0.5,2.0,pct,92.0,45.25,target,3506.25,0.473,0.153,1
2023-08-25,pdl_to_s1,bear,CE,19300,19250,ITM1,09:20:02,0.2,2.0,pct,114.6,91.4,target,1740.0,0.593,0.806,6
2023-10-16,tc_to_pdh,bull,PE,19750,19800,ITM1,09:25:02,0.2,75.0,spot,137.25,108.6,target,2148.75,0.695,0.282,3
2023-10-30,tc_to_pdh,bear,PE,19050,19000,OTM1,09:31:02,0.5,25.0,spot,105.9,52.7,target,3990.0,0.555,0.6,3
2023-10-31,r1_to_r2,bear,PE,19250,19250,ATM,09:20:02,0.5,2.0,pct,126.0,161.15,eod,-2636.25,0.655,0.442,2
2023-11-06,r3_to_r4,bull,PE,19350,19400,ITM1,09:25:02,0.2,0.5,pct,91.55,72.7,target,1413.75,0.473,0.112,3
2023-11-07,tc_to_pdh,bull,PE,19400,19450,ITM1,09:25:02,0.2,75.0,spot,97.3,77.55,target,1481.25,0.501,0.333,2
2023-11-10,s1_to_s2,bear,CE,19350,19350,ATM,09:16:02,0.5,2.0,pct,93.95,133.5,eod,-2966.25,0.485,0.322,6
2023-11-20,tc_to_pdh,bull,PE,19750,19800,ITM1,09:25:02,0.2,75.0,spot,117.4,93.9,target,1762.5,0.595,0.157,3
2023-12-04,above_r4,bull,PE,20600,20650,ITM1,09:31:02,0.5,2.0,pct,123.1,79.0,eod,3307.5,0.598,0.323,3
2023-12-05,r1_to_r2,bull,PE,20800,20750,OTM1,09:16:02,0.5,1.0,pct,101.65,82.2,lockin_sl,1458.75,0.488,0.4,2
2023-12-08,tc_to_pdh,bull,PE,20950,21000,ITM1,09:25:02,0.2,75.0,spot,109.15,87.15,target,1650.0,0.521,0.137,6
2023-12-11,tc_to_pdh,bull,PE,21000,21050,ITM1,09:25:02,0.2,75.0,spot,101.45,110.35,eod,-667.5,0.484,0.172,3
2023-12-13,tc_to_pdh,bull,PE,20950,21000,ITM1,09:25:02,0.2,75.0,spot,108.65,86.55,target,1657.5,0.519,0.586,1
2023-12-18,tc_to_pdh,bull,PE,21450,21500,ITM1,09:25:02,0.2,75.0,spot,135.2,149.0,eod,-1035.0,0.631,0.711,3
2023-12-26,tc_to_pdh,bull,PE,21350,21400,ITM1,09:25:02,0.2,75.0,spot,104.5,78.0,target,1987.5,0.489,0.125,2
2023-12-29,within_cpr,bull,PE,21750,21750,ATM,09:20:02,0.3,2.0,pct,149.15,103.8,target,3401.25,0.686,0.295,6
2024-01-01,tc_to_pdh,bull,PE,21750,21800,ITM1,09:25:02,0.2,75.0,spot,156.65,125.15,target,2362.5,0.721,0.127,3
2024-01-02,tc_to_pdh,bull,PE,21750,21800,ITM1,09:25:02,0.2,75.0,spot,137.65,109.6,target,2103.75,0.633,0.215,2
2024-01-03,tc_to_pdh,bull,PE,21700,21750,ITM1,09:25:02,0.2,75.0,spot,164.95,186.95,spot_sl,-1650.0,0.761,0.438,1
2024-01-12,r1_to_r2,bull,PE,21800,21750,OTM1,09:16:02,0.5,1.0,pct,136.55,68.1,target,5133.75,0.627,0.135,6
